Word	Annotation	Sense	Part of Speech	Level
the			definite article	A1
of			prep.	A1
and			conj.	A1
to			prep., infinitive marker	A1
in			prep., adv.	A1
a, an			indefinite article	A1
that			det., pron., conj. A1, adv. B1	A1, B1
for			prep.	A1
it			pron.	A1
IT			n.	B1
as			prep. A1, adv., conj. A2	A1, A2
with			prep.	A1
be			v., auxiliary v.	A1
by			prep. A1, adv. B1	A1, B1
on			prep., adv.	A1
not			adv.	A1
he			pron.	A1
I			pron.	A1
this			det./pron. A1, adv. B1	A1, B1
or			conj.	A1
his			det. A1, pron. A2	A1, A2
from			prep.	A1
at			prep.	A1
which			pron./det.	A1
but			conj. A1, prep. B2	A1, B2
have			v. A1, auxiliary v.	A2
have to			modal v.	A1
they			pron.	A1
you			pron.	A1
their			det.	A1
one			number/det., pron.	A1
all			det., pron. A1, adv. A2	A1, A2
we			pron.	A1
can		1	modal v.	A1
can		2	n.	A2
her			pron., det.	A1
there			adv.	A1
if			conj.	A1
more			det./pron., adv.	A1
when			adv., pron., conj.	A1
will			modal v. A1, n. B1	A1, B1
would			modal v.	A1
who			pron.	A1
so			adv., conj.	A1
no			exclam., det.	A1
no one			pron.	A1
she			pron.	A1
other			adj./pron.	A1
its			det.	A1
may			modal v.	A2
May			n.	A1
what			pron./det.	A1
them			pron.	A1
than			conj.	A1
some			det., pron.	A1
him			pron.	A1
time			n. A1, v. B2	A1, B2
into			prep.	A1
only			adj., adv.	A1
do		1	v., auxiliary v.	A1
such			det./pron.	A2
my			det.	A1
new			adj.	A1
about			prep., adv.	A1
out			adv./prep.	A1
also			adv.	A1
two			number	A1
any			det., pron. A1, adv. A2	A1, A2
any more			adv.	A2
up			adv., prep.	A1
first			det./number, adv. A1, n. A2	A1, A2
could			modal v.	A1
our			det.	A1
then			adv.	A1
most			det./pron., adv.	A1
see			v.	A1
me			pron.	A1
should			modal v.	A1
after			prep. A1, conj., adv. A2	A1, A2
your			det.	A1
very			adv. A1, adj. B2	A1, B2
between			prep. A1, adv. A2	A1, A2
many			det./pron.	A1
over			prep., adv.	A1
like	(find sb/sth pleasant)		v. A1	
like	(similar)		prep.	A1
now			adv. A1, conj. B1	A1, B1
even			adv. A1, adj. B2	A1, B2
well			adv., adj., exclam.	A1
where			adv., conj.	A1
must			modal v.	A1
people			n.	A1
through			prep., adv.	A1
how			adv.	A1
same			adj., pron., adv.	A1
work			v., n.	A1
being			n.	B2
because			conj.	A1
man			n.	A1
life			n.	A1
before			prep. A1, conj., adv. A2	A1, A2
each			det./pron./adv.	A1
much			det./pron., adv.	A1
under			prep., adv.	A1
way			n. A1, adv. B2	A1, B2
great			adj.	A1
state			n. A2, adj., v. B1	A2, B1
both			det./pron.	A1
use			v. A1, n. A2	A1, A2
upon			prep.	B1
own			adj./pron. A1, v. A2	A1, A2
used		1	adj.	B1
used		2	adj.	B1
used to			modal v.	A2
however			adv.	A1
us			pron.	A1
part			n.	A1
good			adj. A1, n. A2	A1, A2
world			n.	A1
make			v. A1, n. B2	A1, B2
three			number	A1
while			conj. A2, n. B1	A2, B1
long		1	adj., adv.	A1
day			n.	A1
without			prep.	A1
just			adv.	A1
general			adj.	A2
during			prep.	A1
another			det./pron.	A1
little			adj., det./pron. A1, adv. A2	A1, A2
found			v.	B2
here			adv.	A1
system			n.	A2
down			adv., prep.	A1
number			A1, adv. A2	A1, A2
number			n. A1, v. A2	A1, A2
case			n.	A2
against			prep.	A2
might			modal v.	A2
still			adv. A1, adj. B1	A1, B1
back			n., adv. A1, adj. A2, v. B2	A1, A2, B2
all right			adj./adv., exclam.	A2
right			adj., adv., n.	A1
know			v.	A1
place			n. A1, v. B1	A1, B1
every			det.	A1
government			n.	A2
too			adv.	A1
high			adj. A1, adv. A2, n. B2	A1, A2, B2
old			adj.	A1
different			adj.	A1
take			v.	A1
year			n.	A1
power			n. A2, v. B2	A2, B2
since			prep., conj. A2, adv. B1	A2, B1
god			n.	A2
never			adv.	A1
social			adj.	A2
order			n., v.	A1
water			n. A1, v. B1	A1, B1
thus			adv.	B2
form			n., v.	A1
within			prep.	B1
small			adj.	A1
shall			modal v.	A2
public			adj., n.	A2
large			adj.	A1
law			n.	A2
come			v.	A1
less			det./pron., adv.	A2
war			n.	A2
point			n. A1, v. B1	A1, B1
again			adv.	A1
often			adv.	A1
go			v. A1, n. B1	A1, B1
few			det./adj., pron.	A1
among			prep.	A2
important			adj.	A1
end			n., v.	A1
get			v.	A1
house			n. A1, v. B2	A1, B2
second	(next after the first)	1	det./	
second	(unit of time)	1	n.	A1
though			conj., adv.	B1
present			adj., n. A1, v. A2	A1, A2
example			n.	A1
himself			pron.	A2
last	(final)	1	det. A1, adv., n. A2	A1, A2
last	(taking time)	1	v.	A2
say			v.	A1
left			adj., adv., n.	A1
fact			n.	A1
off			adv., prep.	A1
set	(group)		n.	B1
set	(put)		v.	B1
per			prep.	A2
yet			adv. A2, conj. B2	A2, B2
hand			n. A1, v. B1	A1, B1
development			n.	B1
thought			n.	A2
always			adv.	A1
far			adv. A1, adj. B1	A1, B1
country			n.	A1
school			n.	A1
information			n.	A1
group			n.	A1
following			adj. A2, n. B1, prep. B2	A2, B1, B2
think			v.	A1
political			adj.	B1
