Word	Annotation	Sense	Part of Speech	Level
just			adj.	C1
well			n.	C1
say			n.	C1
making			n.	B2
top			v.	C1
rating			n.	B2
moving			adj.	B2
total			v.	C1
ratio			n.	C1
stake			n.	C1
revenue			n.	B2
firm			adj.	B2
remains			n.	C1
transaction			n.	C1
federal			adj.	B2
terms			n.	B2
earnings			n.	C1
driving			adj.	C1
inflation			n.	B2
content		2	adj.	C1
net			adj.	C1
spokesperson			n.	B2
accused			n.	C1
ongoing			adj.	B2
failed			adj.	B2
consensus			n.	C1
offering			n.	C1
alongside			prep.	B2
infrastructure			n.	B2
prior			adj.	B2
reportedly			adv.	C1
upcoming			adj.	C1
trading			n.	B2
allegedly			adv.	C1
fit			n.	C1
fine			n., v.	C1
tournament			n.	B2
coverage			n.	B2
minute		2	adj.	C1
franchise			n.	C1
sound			adj.	C1
governor			n.	B2
presidential			adj.	C1
partnership			n.	B2
potentially			adv.	B2
amid			prep.	C1
assault			n., v.	C1
margin			n.	B2
yield			n., v.	C1
legislation			n.	C1
abuse			n., v.	C1
debut			n.	C1
nearby			adj., adv.	B2
dedicated			adj.	C1
passing			n.	C1
recovery			n.	B2
boost			v., n.	B2
challenging			adj.	B2
reporting			n.	B2
standing			adj.	C1
forecast			n., v.	B2
enforcement			n.	C1
portfolio			n.	C1
penalty			n.	B2
squad			n.	C1
assistance			n.	B2
defensive			adj.	C1
bid			n., v.	B2
strategic			adj.	C1
sustainable			adj.	B2
completion			n.	B2
rose			n.	B2
analyst			n.	B2
expansion			n.	B2
ruling			n.	C1
footage			n.	C1
guidance			n.	C1
affordable			adj.	B2
storage			n.	C1
custody			n.	C1
retail			n.	B2
healthcare			n.	B2
testing			n.	B2
suffering			n.	B2
championship			n.	B2
vice			n.	C1
tackle			v., n.	B2, C1
joint			adj., n.	B2
institutional			adj.	C1
legacy			n.	C1
carbon			n.	B2
era			n.	B2
lawsuit			n.	C1
shortly			adv.	B2
vulnerable			adj.	C1
collaboration			n.	C1
investor			n.	B2
awareness			n.	B2
rock			v.	C1
gender			n.	B2
neutral			adj.	B2
jail			n., v.	B2
province			n.	C1
rally			n., v.	C1
gaming			n.	B2
outstanding			adj.	B2
super			adj.	B2
retirement			n.	B2
attorney			n.	C1
democracy			n.	B2
roughly			adv.	B2
personnel			n.	C1
monthly			adj.	B2
resolution			n.	B2
spokesman			n.	B2
combat			n., v.	C1
downtown			n., adj., adv.	B2
abortion			n.	C1
residential			adj.	C1
deputy			n.	C1
bench			n.	C1
diverse			adj.	B2
voting			n.	B2
ministry			n.	C1
invasion			n.	B2
beloved			adj.	C1
founder			n.	B2
manufacturing			n.	B2
accessible			adj.	C1
jury			n.	B2
veteran			n.	C1
respectively			adv.	C1
mayor			n.	B2
territory			n.	B2
momentum			n.	C1
innovation			n.	B2
behalf			n.	C1
asset			n.	B2
primarily			adv.	B2
motion			n.	B2
engagement			n.	C1
pop			v.	C1
eligible			adj.	C1
bail			n.	C1
recognition			n.	B2
segment			n.	C1
aside			adv.	B2
ownership			n.	B2
literally			adv.	B2
arm			v.	C1
acquisition			n.	C1
transportation			n.	B2
extensive			adj.	B2
poll			n.	C1
trailer			n.	C1
cutting			n.	C1
fraud			n.	B2
closure			n.	C1
maintenance			n.	C1
extension			n.	B2
consecutive			adj.	C1
mining			n.	C1
mode			n.	B2
peak			n.	C1
stunning			adj.	B2
latter			adj., n.	C1
fake			adj.	B2
novel			adj.	C1
overnight			adv.	B2
controversial			adj.	B2
index			n.	B2
newly			adv.	B2
seemingly			adv.	C1
weekly			adj.	B2
portion			n.	B2
gross			adj.	C1
workforce			n.	B2
outlook			n.	C1
deadline			n.	B2
insider			n.	C1
heritage			n.	C1
funeral			n.	C1
tribute			n.	C1
foundation			n.	B2
corruption			n.	C1
encouraging			adj.	C1
comprehensive			adj.	B2
stability			n.	C1
exclusive			adj.	C1
clip			n.	B2
hopefully			adv.	B2
exit			n., v.	B2, C1
exposure			n.	B2
operational			adj.	C1
collision			n.	C1
ease			n., v.	C1
innovative			adj.	B2
premium			n.	C1
engaging			adj.	C1
substantial			adj.	C1
tragic			adj.	B2
consistently			adv.	B2
gathering			n.	C1
theft			n.	B2
