Word	Annotation	Sense	Part of Speech	Level	Russian
well			n.	C1	ну
well-being			n.	C1	благополучие
part-time			adj./adv.	B2	неполный рабочий день
make-up			n.	B2	макияж
long-time			adj.	C1	давний
just			adj.	C1	просто
so-called			adj.	B2	так называемый
say			n.	C1	сказать
set-up			n.	C1	установка
line-up			n.	C1	состав
making			n.	B2	делая
full-time			adj./adv.	B2	полный рабочий день
total			v.	C1	всего
terms			n.	B2	термины
short-term			adj.	B2	краткосрочный
latter			adj., n.	C1	последний
march			n., v.	C1	марш
decision-making			n.	C1	принятие решений
top			v.	C1	топ
sound			adj.	C1	звук
federal			adj.	B2	федеральный
fine			n., v.	C1	хорошо
post-war			adj.	C1	послевоенный
large-scale			adj.	C1	крупномасштабный
acid			n., adj.	B2, C1	кислота
merely			adv.	C1	просто
content		2	adj.	C1	содержание
considerable			adj.	B2	значительный
sufficient			adj.	B2	достаточно
remains			n.	C1	остается
hence			adv.	B2	следовательно
principal			adj., n.	B2, C1	директор
motion			n.	B2	движение
constitution			n.	C1	конституция
formation			n.	B2	формирование
firm			adj.	B2	фирма
resistance			n.	C1	сопротивление
long-standing			adj.	C1	давний
standing			adj.	C1	стоя
output			n.	B2	вывод
forth			adv.	C1	вперед
moving			adj.	B2	перемещение
rose			n.	B2	роза
portion			n.	B2	порция
governor			n.	B2	губернатор
prior			adj.	B2	предшествующий
index			n.	B2	индекс
moreover			adv.	B2	более того
corporation			n.	B2	корпорация
joint			adj., n.	B2	совместный
divine			adj.	C1	божественный
bound			adj.	B2	связанный
equation			n.	C1	уравнение
absence			n.	C1	отсутствие
rock			v.	C1	рок
kingdom			n.	C1	королевство
interpretation			n.	B2	интерпретация
agricultural			adj.	C1	сельскохозяйственный
net			adj.	C1	сеть
ratio			n.	C1	соотношение
assembly			n.	C1	сборка
mere			adj.	C1	просто
failed			adj.	B2	не удалось
empire			n.	B2	империя
clinical			adj.	C1	клинический
literary			adj.	B2	литературный
proportion			n.	B2	пропорция
arm			v.	C1	рука
fit			n.	C1	подходит
assistance			n.	B2	помощь
supreme			adj.	C1	высший
variable			n., adj.	C1	переменная
besides			prep., adv.	B2	кроме того
foundation			n.	B2	фундамент
mode			n.	B2	режим
doctrine			n.	C1	доктрина
democratic			adj.	B2	демократический
reform			n., v.	C1	реформа
consciousness			n.	C1	сознание
composition			n.	C1	композиция
intellectual			adj., n.	B2, C1	интеллектуальный
greatly			adv.	B2	значительно
dependent			adj.	B2	зависимый
evaluation			n.	B2	оценка
significance			n.	B2	значение
experimental			adj.	C1	экспериментальный
passing			n.	C1	прохождение
universal			adj.	B2	универсальный
independence			n.	B2	независимость
contrary			adj., n.	C1	вопреки
republic			n.	C1	республика
superior			adj.	C1	превосходящий
parallel			adj., n.	B2	параллельный
subsequent			adj.	B2	последующий
treaty			n.	C1	договор
tissue			n.	B2	ткань
convention			n.	B2	конвенция
resolution			n.	B2	резолюция
corresponding			adj.	C1	соответствующий
minute		2	adj.	C1	минута
distinct			adj.	B2	отчетливый
protein			n.	B2	белок
necessity			n.	B2	необходимость
novel			adj.	C1	роман
psychological			adj.	B2	психологический
welfare			n.	B2	благосостояние
territory			n.	B2	территория
agriculture			n.	B2	сельское хозяйство
non-profit			adj.	C1	некоммерческая организация
bishop			n.	C1	епископ
distinction			n.	C1	различие
primarily			adv.	B2	прежде всего
settlement			n.	C1	поселение
recognition			n.	B2	признание
grace			n.	C1	благодать
liberty			n.	C1	свобода
establishment			n.	C1	учреждение
crown			n.	C1	корона
extensive			adj.	B2	обширный
temple			n.	B2	храм
determination			n.	B2	решимость
representation			n.	C1	представительство
evident			adj.	B2	очевидный
input			n.	B2	ввод
ministry			n.	C1	министерство
tendency			n.	B2	тенденция
consequently			adv.	B2	следовательно
proceedings			n.	C1	разбирательство
provision			n.	C1	положение
circuit			n.	B2	схема
sin			n.	C1	грех
interaction			n.	B2	взаимодействие
respectively			adv.	C1	соответственно
density			n.	C1	плотность
adequate			adj.	B2	адекватный
evolution			n.	B2	эволюция
processing			n.	C1	обработка
expansion			n.	B2	расширение
efficiency			n.	C1	эффективность
equivalent			n., adj.	B2	эквивалент
commerce			n.	C1	коммерция
bay			n.	C1	бухта
testing			n.	B2	тестирование
administrative			adj.	C1	административный
unity			n.	B2	единство
